time,u_numerical,u_exact
2.74609,-0.8242,0
2.75,-0.820878,0
2.75391,-0.817084,0
2.75781,-0.812856,0
2.76172,-0.808378,0
2.76562,-0.803818,0
2.76953,-0.799161,0
2.77344,-0.794269,0
2.77734,-0.789025,0
2.78125,-0.78337,0
2.78516,-0.777263,0
2.78906,-0.770712,0
2.79297,-0.763838,0
2.79688,-0.756812,0
2.80078,-0.749698,0
2.80469,-0.742393,0
2.80859,-0.734744,0
2.8125,-0.726675,0
2.81641,-0.718185,0
2.82031,-0.709301,0
2.82422,-0.700089,0
2.82812,-0.690647,0
2.83203,-0.681049,0
2.83594,-0.67127,0
2.83984,-0.661208,0
2.84375,-0.65078,0
2.84766,-0.639973,0
2.85156,-0.62881,0
2.85547,-0.617328,0
2.85938,-0.60558,0
2.86328,-0.59363,0
2.86719,-0.581497,0
2.87109,-0.569122,0
2.875,-0.556422,0
2.87891,-0.54339,0
2.88281,-0.530094,0
2.88672,-0.516575,0
2.89062,-0.50278,0
2.89453,-0.488649,0
2.89844,-0.474239,0
2.90234,-0.459688,0
2.90625,-0.445046,0
2.91016,-0.430191,0
2.91406,-0.414974,0
2.91797,-0.399406,0
2.92188,-0.383638,0
2.92578,-0.367767,0
2.92969,-0.351729,0
2.93359,-0.335398,0
2.9375,-0.318766,0
2.94141,-0.30198,0
2.94531,-0.285201,0
2.94922,-0.268405,0
2.95312,-0.251342,0
2.95703,-0.233782,0
2.96094,-0.215819,0
2.96484,-0.19786,0
2.96875,-0.180186,0
2.97266,-0.162582,0
2.97656,-0.14457,0
2.98047,-0.126012,0
2.98438,-0.107304,0
2.98828,-0.0888528,0
2.99219,-0.070543,0
2.99609,-0.0519125,0
3,-0.032791,0
